"","genus_species","species","genus","family","order","publications","citations","journals","years_publishing","x","y"
"182","Ammospermophilus interpres","interpres","Ammospermophilus","Sciuridae","Rodentia",3,38,3,21,-104.60943704458,30.9804334609316
"183","Ammospermophilus leucurus","leucurus","Ammospermophilus","Sciuridae","Rodentia",41,910,30,60,-113.974008695714,35.0646006556369
"184","Ammospermophilus nelsoni","nelsoni","Ammospermophilus","Sciuridae","Rodentia",9,131,9,48,-120.33899540255,35.6899409199985
"185","Ammotragus lervia","lervia","Ammotragus","Bovidae","Artiodactyla",170,2216,125,63,-101.965478460787,30.9730442662521
"186","Amorphochilus schnablii","schnablii","Amorphochilus","Furipteridae","Chiroptera",5,32,5,23,-80.1981418177355,-4.20818110789088
"187","Amphinectomys savamis","savamis","Amphinectomys","Cricetidae","Rodentia",3,16,3,17,-73,-5
"188","Anathana ellioti","ellioti","Anathana","Tupaiidae","Scandentia",2,1,2,40,79.669794410503,22.3463105569163
"189","Andalgalomys olrogi","olrogi","Andalgalomys","Cricetidae","Rodentia",1,16,1,11,-67,-27
"190","Andalgalomys pearsoni","pearsoni","Andalgalomys","Cricetidae","Rodentia",1,5,1,6,-60.4948895138489,-21.5311880912194
"191","Andinomys edax","edax","Andinomys","Cricetidae","Rodentia",12,146,9,23,-66.6104785702065,-20.5788477249987
"192","Anisomys imitator","imitator","Anisomys","Muridae","Rodentia",1,9,1,32,145.001834978112,-6.00367070585996
"193","Anomalurus beecrofti","beecrofti","Anomalurus","Anomaluridae","Rodentia",3,16,3,5,24.9988500478896,-0.649495670134422
"194","Anomalurus derbianus","derbianus","Anomalurus","Anomaluridae","Rodentia",5,44,5,25,24.2487017726042,-0.170600554815509
"195","Anomalurus pelii","pelii","Anomalurus","Anomaluridae","Rodentia",0,0,0,NA,-3,6.00367070585999
"196","Anomalurus pusillus","pusillus","Anomalurus","Anomaluridae","Rodentia",2,19,2,24,27.499542609352,1.00106754317189
"197","Anonymomys mindorensis","mindorensis","Anonymomys","Muridae","Rodentia",0,0,0,NA,121,13
"198","Anotomys leander","leander","Anotomys","Cricetidae","Rodentia",2,13,2,34,-79,1.00015234351658
"199","Anoura canishina","canishina","Anoura","Phyllostomidae","Chiroptera",0,0,0,NA,NA,NA
"200","Anoura caudifer","caudifer","Anoura","Phyllostomidae","Chiroptera",27,370,22,38,-47.2941884008381,-23.6119057555458
"201","Anoura cultrata","cultrata","Anoura","Phyllostomidae","Chiroptera",6,44,5,16,-75.0028620215462,6.67360000831684
"202","Anoura fistulata","fistulata","Anoura","Phyllostomidae","Chiroptera",7,277,7,16,-79,-4.00244214969981
"203","Anoura geoffroyi","geoffroyi","Anoura","Phyllostomidae","Chiroptera",55,936,44,39,-74.6645172357219,3.34786614742856
"204","Anoura latidens","latidens","Anoura","Phyllostomidae","Chiroptera",5,184,5,23,-73.9984716284955,5.00535080170166
"205","Anoura luismanueli","luismanueli","Anoura","Phyllostomidae","Chiroptera",0,0,0,NA,-72.9981650218874,6.00367070585999
"206","Anourosorex assamensis","assamensis","Anourosorex","Soricidae","Eulipotyphla",0,0,0,NA,93.0000000000002,11.0016965084064
"207","Anourosorex schmidi","schmidi","Anourosorex","Soricidae","Eulipotyphla",0,0,0,NA,89,27
"208","Anourosorex squamipes","squamipes","Anourosorex","Soricidae","Eulipotyphla",35,573,22,37,104.595151625124,29.8195525716101
"209","Anourosorex yamashinai","yamashinai","Anourosorex","Soricidae","Eulipotyphla",3,31,3,16,121.000000000001,24.0155502468952
"210","Antechinomys laniger","laniger","Antechinomys","Dasyuridae","Dasyuromorphia",12,159,10,39,139.204157886363,-27.8752049803862
"211","Antechinus adustus","adustus","Antechinus","Dasyuridae","Dasyuromorphia",1,25,1,22,145.802500414238,-17.4208421836972
"212","Antechinus agilis","agilis","Antechinus","Dasyuridae","Dasyuromorphia",57,1411,25,24,147.955499566848,-36.5781917023778
"213","Antechinus argentus","argentus","Antechinus","Dasyuridae","Dasyuromorphia",4,31,4,9,151,-25
"214","Antechinus arktos","arktos","Antechinus","Dasyuridae","Dasyuromorphia",7,53,6,8,153,-29
"215","Antechinus bellus","bellus","Antechinus","Dasyuridae","Dasyuromorphia",9,466,8,46,132.601779947638,-12.2072366278072
"216","Antechinus flavipes","flavipes","Antechinus","Dasyuridae","Dasyuromorphia",88,1710,47,62,151.547994103951,-29.3804986360842
"217","Antechinus godmani","godmani","Antechinus","Dasyuridae","Dasyuromorphia",9,341,9,31,145.000000000001,-18.0113479632784
